iter	Passed	Remaining
0	138	137981
1	139	69528
2	140	46689
3	141	35242
4	142	28305
5	142	23688
6	143	20375
7	144	17880
8	144	15941
9	145	14380
10	145	13105
11	146	12055
12	146	11155
13	147	10392
14	148	9723
15	148	9139
16	149	8625
17	149	8166
18	150	7757
19	150	7397
20	151	7062
21	152	6759
22	152	6482
23	153	6227
24	153	5994
25	154	5776
26	154	5582
27	155	5396
28	155	5222
29	156	5062
30	157	4910
31	157	4767
32	158	4633
33	158	4512
34	159	4394
35	159	4281
36	160	4178
37	161	4082
38	161	3989
39	162	3898
40	163	3814
41	163	3736
42	164	3659
43	164	3583
44	165	3515
45	166	3446
46	166	3381
47	167	3317
48	167	3257
49	168	3198
50	168	3143
51	169	3089
52	170	3037
53	170	2991
54	171	2943
55	171	2897
56	172	2851
57	172	2808
58	173	2767
59	173	2725
60	174	2685
61	175	2649
62	175	2614
63	176	2580
64	176	2545
65	177	2513
66	178	2482
67	178	2446
68	179	2416
69	179	2387
70	180	2359
71	180	2331
72	181	2304
73	182	2278
74	182	2252
75	183	2227
76	183	2202
77	184	2178
78	184	2155
79	185	2131
80	185	2108
81	186	2086
82	187	2066
83	187	2044
84	187	2022
85	188	2003
86	188	1982
87	189	1963
88	190	1945
89	190	1927
90	191	1910
91	191	1893
92	192	1876
93	192	1859
94	193	1843
95	194	1827
96	194	1811
97	195	1796
98	195	1783
99	196	1769
100	197	1756
101	197	1739
102	198	1725
103	198	1712
104	199	1699
105	199	1686
106	200	1674
107	201	1662
108	201	1651
109	202	1638
110	203	1626
111	203	1615
112	204	1604
113	205	1594
114	205	1583
115	206	1573
116	207	1562
117	207	1552
118	208	1540
119	208	1530
120	209	1520
121	209	1509
122	210	1498
123	210	1488
124	211	1479
125	211	1469
126	212	1460
127	212	1449
128	213	1441
129	214	1432
130	214	1424
131	215	1415
132	215	1406
133	216	1398
134	216	1390
135	217	1381
136	218	1373
137	218	1364
138	219	1357
139	219	1349
140	220	1343
141	221	1335
142	221	1328
143	222	1322
144	223	1315
145	223	1308
146	224	1302
147	225	1296
148	225	1289
149	226	1283
150	227	1277
151	227	1270
152	228	1264
153	229	1258
